	new_el	N_Z	N	Z	A	el	o	ME_keV	ME_unc_keV	BE_keV	BE_unc_keV	B	Q_keV	Q_unc_keV	mass_micro_u	mass_unc_micro_u	extrapol	mass_prec
3236		51	147	96	243	Cm	-a	57181.936	1.496	7526.9261	0.0062	B-	-1507.6936	4.5065	243061387.329	1.605	False	2.935754049667165
3237		49	146	97	243	Bk	-a	58689.629	4.524	7517.5021	0.0186	B-	-2300.0	181.0	243063005.905	4.856	False	2.875180068393751
3238		47	145	98	243	Cf	-a	60990.0	181.0	7505.0	1.0	B-	-3757.0	275.0	243065475.0	194.0	True	
3239		45	144	99	243	Es	-a	64747.0	207.0	7486.0	1.0	B-	-4569.0	245.0	243069508.0	222.0	True	
3240		43	143	100	243	Fm	-a	69316.0	130.0	7464.0	1.0	B-			243074414.0	140.0	True	
3241	0.0	58	151	93	244	Np	x	63240.0	100.0	7514.0	0.0	B-	3434.0	100.0	244067891.0	107.0	True	
3242		56	150	94	244	Pu		59806.021	2.346	7524.8154	0.0096	B-	-73.1143	2.6856	244064204.401	2.518	False	2.9117785958959668
3243		54	149	95	244	Am	+	59879.135	1.491	7521.3095	0.0061	B-	1427.3	1.0	244064282.892	1.6	False	2.936138232239541
3244		52	148	96	244	Cm	-a	58451.835	1.106	7523.9527	0.0045	B-	-2261.9902	14.3567	244062750.622	1.187	False	2.9518591085920685
3245		50	147	97	244	Bk	-a	60713.825	14.399	7511.4759	0.059	B-	-764.2709	14.5724	244065178.969	15.457	False	2.80788853148253
3246		48	146	98	244	Cf		61478.096	2.617	7505.1373	0.0107	B-	-4547.0	181.0	244065999.447	2.809	False	2.9058141681976752
3247		46	145	99	244	Es	-a	66026.0	181.0	7483.0	1.0	B-	-2938.0	271.0	244070881.0	195.0	True	
3248		44	144	100	244	Fm	-a	68964.0	201.0	7468.0	1.0	B-	-6634.0	425.0	244074036.0	216.0	True	
3249		42	143	101	244	Md	-a	75597.0	374.0	7438.0	2.0	B-			244081157.0	402.0	True	
3250	0.0	59	152	93	245	Np	x	65850.0	200.0	7506.0	1.0	B-	2672.0	201.0	245070693.0	215.0	True	
3251		57	151	94	245	Pu	-n	63178.173	13.62	7513.2822	0.0556	B-	1277.7559	13.7334	245067824.554	14.621	False	2.8114840647780603
3252		55	150	95	245	Am	+a	61900.417	1.886	7515.3043	0.0077	B-	895.8929	1.5491	245066452.827	2.024	False	2.923804611367966
3253		53	149	96	245	Cm		61004.524	1.149	7515.7677	0.0047	B-	-809.2519	1.4964	245065491.047	1.233	False	2.9500854195026336
3254		51	148	97	245	Bk	-a	61813.776	1.792	7509.2714	0.0073	B-	-1571.3755	2.5861	245066359.814	1.923	False	2.9265511587223942
3255		49	147	98	245	Cf		63385.151	2.428	7499.6644	0.0099	B-	-2930.0	165.0	245068046.755	2.606	False	2.9101324449392454
3256		47	146	99	245	Es	IT	66315.0	165.0	7485.0	1.0	B-	-3877.0	256.0	245071192.0	178.0	True	
3257		45	145	100	245	Fm	-a	70192.0	195.0	7465.0	1.0	B-	-5133.0	325.0	245075354.0	210.0	True	
3258		43	144	101	245	Md	-a	75325.0	260.0	7441.0	1.0	B-			245080864.0	279.0	True	
3259	0.0	58	152	94	246	Pu		65394.772	14.985	7506.5401	0.0609	B-	401.0	14.0	246070204.172	16.087	False	2.8059700602195257
3260		56	151	95	246	Am	IT	64994.0	18.0	7505.0	0.0	B-	2377.0	18.0	246069774.0	19.0	True	
3261		54	150	96	246	Cm		62616.912	1.525	7511.4716	0.0062	B-	-1350.0	60.0	246067222.016	1.637	False	2.935358402524795
3262		52	149	97	246	Bk	-	63966.912	60.019	7502.8035	0.244	B-	-123.3159	60.0198	246068671.3	64.433	False	2.7183631910935357
3263		50	148	98	246	Cf		64090.228	1.514	7499.122	0.0062	B-	-3728.5741	89.9373	246068803.685	1.625	False	2.935749435716882
3264		48	147	99	246	Es		67818.802	89.925	7480.7849	0.3655	B-	-2372.3848	90.9577	246072806.474	96.538	False	2.691324523413094
3265		46	146	100	246	Fm	-a	70191.187	13.67	7467.9608	0.0556	B-	-5924.0	260.0	246075353.334	14.675	False	2.811509089551197
3266		44	145	101	246	Md	-a	76115.0	260.0	7441.0	1.0	B-			246081713.0	279.0	True	
