el,A,Z_+,state,ME_keV,ME_unc_keV,Ex_keV,Ex_unc_keV,Ex_origin,t_1_2,t_1_2_unit,t_1_2_unc,JP,T,ensdf,ref,yr,decay,extrapol,Z,N,mass_prec,isolde_yields,isolde_yields_log
125La,125,570,,-73759.0,26.0,,,&,64.8,s,1.2,11/2-.0,,11.0,,1973,B+=100,False,57,68,2.213788697293892e-07,,
125La,125,571,m,-73652.0,26.0,107.0,0.1,&,390,ms,40,(3/2+),,11.0,,1998,IT=100,False,57,68,2.213790714188277e-07,,
125Ce,125,580,,-66660.0,200.0,,,,9.7,s,0.3,(7/2-),,11.0,,1978,B+=100;B+p=?,True,58,67,1.7030360765826139e-06,,
125Ce,125,581,m,-66570.0,200.0,93.6,0.4,,13,s,10,(1/2+),,11.0,,2007,IT=100,True,58,67,1.7030373817329592e-06,,
125Pr,125,590,,-58070.0,300.0,,,,3.3,s,0.7,3/2+.0,,11.0,,2002,B+=100;B+p ?,True,59,66,2.554769120047698e-06,,
125Nd,125,600,,-48070.0,400.0,,,,650,ms,150,(5/2)(+.0,),11.0,,1999,B+=100;B+p>0,True,60,65,3.4066864574961028e-06,,
126Rh,126,450,,-37200.0,500.0,,,,19,ms,3,1-.0,,15.0,,2010,B-=100;B-n ?;B-2n ?,True,45,81,4.224248702170511e-06,,
126Pd,126,460,,-51790.0,400.0,,,,48.6,ms,0.8,0+,,15.0,,2008,B-=100;B-n=22 9,True,46,80,3.37901937330323e-06,,
126Pd,126,461,m,-49770.0,400.0,2023.5,0.7,,330,ns,40,(5-),,15.0,,2013,IT=100,True,46,80,3.3790770340353775e-06,,
126Pd,126,462,n,-49680.0,400.0,2109.7,0.9,,440,ns,30,(7-),,15.0,,2013,IT=100,True,46,80,3.379079603123691e-06,,
126Pd,126,463,p,-49380.0,400.0,2406.0,1.0,,23.0,ms,0.8,(10+),,15.0,,2014,B=72 8;IT=28 8,True,46,80,3.379088166779617e-06,,
126Ag,126,470,,-60720.0,200.0,,,,52,ms,10,3+.0,,15.0,,1994,B-=100;B-n=13.7 11,True,47,79,1.6894007015206408e-06,,
126Ag,126,471,m,-60620.0,220.0,100.0,100.0,,108.4,ms,2.4,9-.0,,15.0,,1995,B-=100;IT ?;B-n ?,True,47,79,1.8583423414151326e-06,,
126Ag,126,472,n,-60470.0,200.0,254.8,0.5,,27,us,6,1-.0,,15.0,,2012,IT=100,True,47,79,1.6894042691215876e-06,,
126Cd,126,480,,-72255.7,2.3,,,,512,ms,5,0+,,3.0,,1978,B-=100,False,48,78,1.9426427345146013e-08,8.90e+5,13.698976741708323
126In,126,490,,-77809.0,4.0,,,,1.53,s,0.01,3+*,,3.0,,1974,B-=100,False,49,77,3.3783875462527367e-08,3.20e+7,17.281246460764002
126In,126,491,m,-77719.0,5.0,90.0,7.0,MD,1.64,s,0.05,8-*,,3.0,,1970,B-=100,False,49,77,4.2229876428659143e-08,3.20e+7,17.281246460764002
126In,126,492,n,-77566.0,4.0,243.3,0.2,,22,us,2,1-,,,,2003,IT=100,False,49,77,3.378394479969683e-08,3.20e+7,17.281246460764002
126Sn,126,500,,-86015.0,11.0,,,,230,ky,14,0+,,3.0,,1962,B-=100,False,50,76,9.290023361839127e-08,,
126Sn,126,501,m,-83796.0,11.0,2218.99,0.08,,6.1,us,0.7,7-,,3.0,,1979,IT=100,False,50,76,9.290197464884713e-08,,
126Sn,126,502,n,-83451.0,11.0,2564.5,0.5,,7.6,us,0.3,10+,,3.0,,2000,IT=100,False,50,76,9.29022453421839e-08,,
126Sn,126,503,p,-81668.0,11.0,4347.4,0.4,,114,ns,2,15-,,,,2012,IT=100,False,50,76,9.290364434187626e-08,,
126Sb,126,510,,-86390.0,30.0,,,,12.35,d,0.06,8-,,3.0,,1956,B-=100,False,51,75,2.533662385508475e-07,,
126Sb,126,511,m,-86370.0,30.0,17.7,0.3,,19.15,m,0.08,5+,,3.0,,1956,B-=86 4;IT=14 4,False,51,75,2.533662813471553e-07,,
126Sb,126,512,n,-86350.0,30.0,40.4,0.3,,~11,s,,3-,,3.0,,1976,"IT=100[gs=0,m=100]",False,51,75,2.5336632414347754e-07,,
126Sb,126,513,p,-86290.0,30.0,104.6,0.3,,553,ns,5,3+,,3.0,,1976,IT=100,False,51,75,2.53366452532531e-07,,
126Sb,126,514,q,-84580.0,30.0,1810.7,1.7,,90,ns,16,(13+),,,,2019,IT=100,False,51,75,2.5337011167525427e-07,,
126Te,126,520,,-90064.2,1.4,,,,stbl,,,0+,,3.0,,1924,IS=8.84 25,False,52,74,1.1823520055056777e-08,,
126I,126,530,,-87910.0,4.0,,,,12.93,d,0.05,2-*,,3.0,,1938,B+=52.7 5;B-=47.3 5,False,53,73,3.378246947154761e-08,3.50e+7,17.37085861945369
126I,126,531,m,-87799.0,4.0,111.0,0.23,,128,ns,,3+,,,,2012,IT=100,False,53,73,3.3782501141410306e-08,3.50e+7,17.37085861945369
126Xe,126,540,,-89146.387,0.006,,,,stbl,,,0+,,3.0,,1922,IS=0.089 3;2B+ ?,False,54,72,5.0673728578279644e-11,3.10e+10,24.157253041431556
126Cs,126,550,,-84351.0,10.0,,,,1.64,m,0.02,1+*,,3.0,,1954,B+=100,False,55,71,8.446055751396171e-08,6.90e+10,24.95737234154367
126Cs,126,551,m,-84078.0,10.0,273.0,0.7,,~1,us,,(4-),,3.0,,1993,IT=100,False,55,71,8.446075226130243e-08,6.90e+10,24.95737234154367
126Cs,126,552,n,-83755.0,10.0,596.1,1.1,,171,us,14,8-.0,,3.0,,1993,IT=100,False,55,71,8.446098267781414e-08,6.90e+10,24.95737234154367
126Ba,126,560,,-82670.0,12.0,,,,100,m,2,0+,,3.0,,1954,B+=100,False,56,70,1.0135521519931947e-07,1.60e+10,23.495854559186192
126La,126,570,,-74970.0,90.0,,,*,54,s,2,5-.0,,3.0,,1961,B+=100,False,57,69,7.602218605194337e-07,,
126La,126,571,m,-74760.0,400.0,210.0,410.0,BD*,20,s,20,1-.0,,3.0,,1997,B+=100,False,57,69,3.3787698179650634e-06,,
126Ce,126,580,,-70821.0,28.0,,,,51.0,s,0.3,0+,,3.0,,1978,B+=100,False,58,68,2.3652434095143934e-07,,
126Pr,126,590,,-60320.0,200.0,,,,3.12,s,0.18,"(4,5)",,3.0,,1983,B+=100;B+p=?,True,59,67,1.6896279162574685e-06,,
126Nd,126,600,,-53380.0,300.0,,,,1.0,s,>200ns,0+,,3.0,,2000,B+ ?;B+p ?,True,60,66,2.5346181731521496e-06,,
126Pm,126,610,,-39750.0,500.0,,,,500.0,ms,,,,,,9999,B+ ?;B+p ?,True,61,65,4.224896310217482e-06,,
127Rh,127,450,,-33730.0,600.0,,,,28,ms,14,7/2+.0,,15.0,,2015,B-=100;B-n ?;B-2n ?,True,45,82,5.029323535844543e-06,,
127Pd,127,460,,-47220.0,500.0,,,,38,ms,2,11/2-.0,,15.0,,2010,B-=100;B-n<19;B-2n ?,True,46,81,4.190674513014743e-06,,
127Pd,127,461,m,-45500.0,500.0,1717.91,0.23,,39,us,6,(19/2+),,15.0,,2019,IT=100,True,46,81,4.190734926315544e-06,,
127Ag,127,470,,-58650.0,200.0,,,*,89,ms,2,(9/2+)*,,11.0,,1995,B-=100;B-n=14.6 15,True,47,80,1.676127403182576e-06,,
127Ag,127,471,m,-58630.0,200.0,20.0,20.0,*,20.0,ms,,(1/2-)*,,,,9999,B- ?;IT ?,True,47,80,1.6761276841229303e-06,,
127Ag,127,472,n,-56710.0,200.0,1938.0,17.0,,67.5,ms,0.9,(27/2+),,,,2021,B-=91.2 8;IT=8.8 8,True,47,80,1.6761546548354406e-06,,
127Cd,127,480,,-68741.0,6.0,,,,480,ms,100,3/2+*,,11.0,,1986,B-=100;B-n ?,False,48,79,5.0280114939632363e-08,1.00e+4,9.210340371976184
127Cd,127,481,m,-68456.0,4.0,285.0,8.0,MD,360,ms,40,11/2-*,,,,2019,B-=100,False,48,79,3.352015668279479e-08,1.00e+4,9.210340371976184
127Cd,127,482,n,-66896.0,10.0,1845.0,8.0,,17.5,us,0.3,(19/2+),,,,2010,IT=100,False,48,79,8.380148723219005e-08,1.00e+4,9.210340371976184
127In,127,490,,-76880.0,10.0,,,,1.086,s,0.007,9/2+*,,11.0,,1975,B-=100;B-n<0.03,False,49,78,8.379538449081534e-08,2.00e+7,16.811242831518264
127In,127,491,m,-76486.0,15.0,394.0,18.0,,3.618,s,0.021,1/2-.0,,11.0,,1974,B-=100;B-n=0.70 4,False,49,78,1.25693491718081e-07,2.00e+7,16.811242831518264
127In,127,492,n,-75110.0,40.0,1770.0,40.0,MD,1.04,s,0.10,(21/2-),,11.0,,2004,B-=100;B-n ?,False,49,78,3.351865093768514e-07,2.00e+7,16.811242831518264
127In,127,493,p,-74515.0,10.0,2364.7,0.9,,9,us,2,(29/2+),,11.0,,2004,IT=100,False,49,78,8.379704514784385e-08,2.00e+7,16.811242831518264
127Sn,127,500,,-83470.0,9.0,,,,2.10,h,0.04,11/2-*,,11.0,,1951,B-=100,False,50,77,7.541249896127186e-08,6.00e+7,17.909855120186375
127Sn,127,501,m,-83465.0,9.0,5.07,0.06,,4.13,m,0.03,3/2+*,,11.0,,1962,B-=100,False,50,77,7.541250212074144e-08,6.00e+7,17.909855120186375
127Sn,127,502,n,-81643.0,9.0,1826.67,0.16,,4.52,us,0.15,19/2+,,11.0,,2000,IT=100,False,50,77,7.541365344908052e-08,6.00e+7,17.909855120186375
127Sn,127,503,p,-81539.0,9.0,1930.97,0.17,,1.26,us,0.15,(23/2+),,11.0,,2004,IT=100,False,50,77,7.541371916811438e-08,6.00e+7,17.909855120186375
127Sn,127,504,q,-80918.0,9.0,2552.4,1.0,,250,ns,30,(27/2-),,11.0,,2008,IT=100,False,50,77,7.541411158896003e-08,6.00e+7,17.909855120186375
127Sb,127,510,,-86698.0,5.0,,,,3.85,d,0.05,7/2+,,11.0,,1939,B-=100,False,51,76,4.189515359801712e-08,,
127Sb,127,511,m,-84778.0,5.0,1920.19,0.21,,11.7,us,0.1,15/2-,,11.0,,1974,IT=100,False,51,76,4.1895827607156077e-08,,
127Sb,127,512,n,-84373.0,5.0,2324.7,0.4,,269,ns,5,23/2+,,11.0,,2005,IT=100,False,51,76,4.1895969783728603e-08,,
127Te,127,520,,-88280.5,1.4,,,,9.35,h,0.07,3/2+,,11.0,,1938,B-=100,False,52,75,1.1730614584816245e-08,,
127Te,127,521,m,-88192.3,1.4,88.23,0.07,,106.1,d,0.7,11/2-,,11.0,,1940,IT=97.86 3;B-=2.14 3,False,52,75,1.173062325408372e-08,,
127I,127,530,,-88983.0,4.0,,,,stbl,,,5/2+*,,11.0,,1920,IS=100,False,53,74,3.3516207595922477e-08,,
127Xe,127,540,,-88321.0,4.0,,,,36.342,d,0.003,1/2+*,,11.0,,1950,EC=100,False,54,73,3.351675672881125e-08,3.10e+10,24.157253041431556
127Xe,127,541,m,-88024.0,4.0,297.1,0.08,,69.2,s,0.9,9/2-*,,11.0,,1940,IT=100,False,54,73,3.3516840139462714e-08,3.10e+10,24.157253041431556
127Cs,127,550,,-86240.0,6.0,,,,6.25,h,0.10,1/2+*,,11.0,,1950,B+=100,False,55,72,5.027655662108598e-08,1.30e+11,25.590800287401994
127Cs,127,551,m,-85788.0,6.0,452.23,0.21,,55,us,3,(11/2)-,,11.0,,1980,IT=100,False,55,72,5.027674704429552e-08,1.30e+11,25.590800287401994
127Ba,127,560,,-82818.0,11.0,,,,12.7,m,0.4,1/2+*,,11.0,,1952,B+=100,False,56,71,9.217732922892484e-08,6.30e+9,22.563815470343897
127Ba,127,561,m,-82738.0,11.0,80.32,0.11,,1.93,s,0.07,7/2-,,11.0,,1992,IT=100,False,56,71,9.217739102285734e-08,6.30e+9,22.563815470343897
127La,127,570,,-77896.0,26.0,,,,5.1,m,0.1,(11/2-),,11.0,,1963,B+=100,False,57,70,2.1788503536945977e-07,,
127La,127,571,m,-77882.0,26.0,14.2,0.4,,3.7,m,0.4,(3/2+),,11.0,,1963,B+~100,False,57,70,2.1788506093232588e-07,,
127Ce,127,580,,-71979.0,29.0,,,,34,s,2,(1/2+),,11.0,,1978,B+=100,False,58,69,2.430403018363515e-07,,
127Ce,127,581,m,-71972.0,29.0,7.3,1.1,,28.6,s,0.7,(5/2+),,11.0,,1978,B+=100,False,58,69,2.4304031609428744e-07,,
127Ce,127,582,n,-71942.0,29.0,36.9,1.1,,>10,us,,(7/2-),,11.0,,1995,IT=100,False,58,69,2.430403771997462e-07,,
127Pr,127,590,,-64540.0,200.0,,,,4.2,s,0.3,3/2+.0,,11.0,,1995,B+=100,True,59,68,1.6762626866945241e-06,,
127Pr,127,591,m,-63940.0,280.0,600.0,200.0,,2.0,us,,(11/2-),,11.0,,1998,IT ?,True,59,68,2.346779562829379e-06,,
127Nd,127,600,,-55910.0,300.0,,,,1.8,s,0.4,5/2+.0,,11.0,,1983,B+=100;B+p=?,True,60,67,2.5146031709927123e-06,,
127Pm,127,610,,-45310.0,400.0,,,,1.0,s,,3/2+.0,,,,9999,B+ ?;p ?,True,61,66,3.3531385024935198e-06,,
128Rh,128,450,,-27340.0,300.0,,,,8.0,ms,>550ns,,,,,2018,B- ?;B-n ?;B-2n ?,True,45,83,2.4951445761077112e-06,,
128Pd,128,460,,-44390.0,500.0,,,,35,ms,3,0+,,16.0,,2010,B-=100;B-n ?,True,46,82,4.158029381492131e-06,,
128Pd,128,461,m,-42240.0,500.0,2151.0,1.0,,5.8,us,0.8,(8+),,16.0,,2013,IT=100,True,46,82,4.158103726417233e-06,,
128Ag,128,470,,-54710.0,300.0,,,,60,ms,3,3+.0,,15.0,,2000,B-=100;B-n=20 5;B-2n ?,True,47,81,2.4946303662274894e-06,,
128Cd,128,480,,-67238.0,6.0,,,,246,ms,2,0+,,15.0,,1986,B-=100;B-n ?,False,48,80,4.988794673551903e-08,1.30e+5,11.77528972943772
128Cd,128,481,m,-65368.0,6.0,1870.5,0.3,,270,ns,7,(5-),,15.0,,2009,IT=100,False,48,80,4.9888722425832965e-08,1.30e+5,11.77528972943772
128Cd,128,482,n,-64523.0,6.0,2714.6,0.4,,3.56,us,0.06,(10+),,15.0,,2009,IT=100,False,48,80,4.988907294621378e-08,1.30e+5,11.77528972943772
128Cd,128,483,p,-62951.0,6.0,4286.6,1.5,,6.3,ms,0.8,(15-),,,,2016,IT=100,False,48,80,4.9889725051672464e-08,1.30e+5,11.77528972943772
128In,128,490,,-74190.1,1.3,,,,816,ms,27,(3)+,,15.0,,1975,B-=100;B-n=0.038 3,False,49,79,1.0808546576169087e-08,1.90e+4,9.852194258148577
128In,128,491,m,-73942.2,1.3,247.87,0.1,,23,us,2,(1)-,,15.0,,1988,IT=100,False,49,79,1.0808568853782656e-08,1.90e+4,9.852194258148577
128In,128,492,n,-73905.0,2.0,285.1,2.2,MD,720,ms,100,(8-),,15.0,,1986,B-=100;IT ?;B-n ?,False,49,79,1.6628572610431683e-08,1.90e+4,9.852194258148577
128In,128,493,p,-72392.5,1.4,1797.6,1.6,MD,>0.3,s,,(16+),,,,2020,B-~100;IT ?;B-n ?,False,49,79,1.1640147206320897e-08,1.90e+4,9.852194258148577
128Sn,128,500,,-83361.0,18.0,,,,59.07,m,0.14,0+,,15.0,,1956,B-=100,False,50,78,1.4964699743765785e-07,,
128Sn,128,501,m,-81270.0,18.0,2091.5,0.11,,6.5,s,0.5,7-,,15.0,,1979,IT=100,False,50,78,1.4964959894521875e-07,,
128Sn,128,502,n,-80869.0,18.0,2491.91,0.17,,2.91,us,0.14,10+,,15.0,,1981,IT=100,False,50,78,1.4965009785777028e-07,,
128Sn,128,503,p,-79262.0,18.0,4099.5,0.4,,220,ns,30,(15-),,15.0,,2011,IT=100,False,50,78,1.4965209727386804e-07,,
128Sb,128,510,,-84630.0,19.0,,,*,9.05,h,0.04,8-*,,15.0,,1956,B-=100,False,51,77,1.5796075147179965e-07,,
128Sb,128,511,m,-84620.0,18.0,10.0,6.0,*,10.41,m,0.18,5+,,15.0,,1955,B-=96.4 10;IT=3.6 10,False,51,77,1.4964704015136752e-07,,
128Sb,128,512,n,-83013.0,19.0,1617.3,0.7,,500,ns,20,(11+),,,,2019,IT=100,False,51,77,1.5796287501274662e-07,,
128Sb,128,513,p,-82860.0,19.0,1769.9,1.2,,217,ns,7,(13+),,,,2019,IT=100,False,51,77,1.5796307594443862e-07,,
128Te,128,520,,-88993.8,0.7,,,,2.25,Yy,0.09,0+,,15.0,,1924,IS=31.74 8;2B-=100,False,52,76,5.819458079750066e-09,,
128Te,128,521,m,-86203.0,0.8,2790.8,0.3,,363,ns,27,(10+),,15.0,,1998,IT=100,False,52,76,6.650963545319912e-09,,
128I,128,530,,-87738.0,4.0,,,,24.99,m,0.02,1+*,,15.0,,1934,B-=93.1 8;B+=6.9 8,False,53,75,3.3254750912706034e-08,7.70e+7,18.159315979817958
128I,128,531,m,-87600.0,4.0,137.851,0.003,,845,ns,20,4-,,15.0,,1982,IT=100,False,53,75,3.3254789065556616e-08,7.70e+7,18.159315979817958
128I,128,532,n,-87571.0,4.0,167.368,0.004,,175,ns,15,(6)-,,15.0,,1991,IT=100,False,53,75,3.325479708319577e-08,7.70e+7,18.159315979817958
128Xe,128,540,,-89860.534,0.005,,,,stbl,,,0+,,15.0,,1922,IS=1.910 13,False,54,74,4.1568152081535747e-11,2.30e+10,23.85876005287556
128Xe,128,541,m,-87073.3,0.3,2787.2,0.3,,83,ns,2,8-,,15.0,,1981,IT=100,False,54,74,2.4941469193477636e-09,2.30e+10,23.85876005287556
128Cs,128,550,,-85932.0,5.0,,,,3.640,m,0.014,1+*,,15.0,,1951,B+=100,False,55,73,4.15699567442251e-08,6.40e+10,24.882148920306083
128Ba,128,560,,-85369.2,1.6,,,,2.43,d,0.05,0+,,15.0,,1950,EC=100,False,56,72,1.3302591441992322e-08,2.40e+10,23.901319667294356
128La,128,570,,-78630.0,50.0,,,*,5.18,m,0.14,(5+),,15.0,,1961,B+=100,False,57,71,4.157337466899691e-07,1.10e+7,16.213405830762646
128La,128,571,m,-78530.0,110.0,100.0,100.0,*,<1.4,m,,"(1+,2-)",,15.0,,1995,B+=100;IT ?,True,57,71,9.146150031905762e-07,1.10e+7,16.213405830762646
128Ce,128,580,,-75534.0,28.0,,,,3.93,m,0.02,0+,,15.0,,1968,B+=100,False,58,70,2.328193950931669e-07,,
128Pr,128,590,,-66331.0,30.0,,,,2.85,s,0.09,(3+),,15.0,,1985,B+=100;B+p=?,False,59,69,2.4947112492122686e-07,,
128Nd,128,600,,-60530.0,200.0,,,,5.0,s,,0+,,15.0,,1985,B+ ?,True,60,68,1.6632389545410432e-06,,
128Pm,128,610,,-48220.0,300.0,,,,1.0,s,0.3,4+.0,,15.0,,1999,B+~100;B+p= ?;p=0,True,61,67,2.495140701992746e-06,,
128Sm,128,620,,-39150.0,500.0,,,,500.0,ms,,0+,,,,9999,B+ ?;B+p ?,True,62,66,4.1589263079932486e-06,,
129Pd,129,460,,-37880.0,600.0,,,,31,ms,7,7/2-.0,,15.0,,2015,B-=100;B-n ?;B-2n ?,True,46,83,4.95121706283618e-06,,
129Ag,129,470,,-51870.0,400.0,,,*,49.9,ms,3.5,9/2+.0,,14.0,,2000,B-=100;B-n<20,True,47,82,3.3004655746783106e-06,,
129Ag,129,471,m,-51850.0,400.0,20.0,20.0,*,10.0,ms,,1/2-.0,,14.0,,9999,B- ?;B-n ?,True,47,82,3.300466119332051e-06,,
129Cd,129,480,,-63122.0,5.0,,,,147,ms,3,11/2-*,,14.0,,2003,B-=100;B-n=?,False,48,81,4.125242994658806e-08,2.00e+2,5.298317366548036
129Cd,129,481,m,-62779.0,6.0,343.0,8.0,MD,157,ms,8,3/2+*,,14.0,,1986,B-=100;B-n=?,False,48,81,4.950305602543033e-08,2.00e+2,5.298317366548036
129Cd,129,482,n,-60839.0,9.0,2283.0,8.0,,3.6,ms,0.2,(21/2+),,14.0,,2014,IT=100,False,48,81,7.42557725751588e-08,2.00e+2,5.298317366548036
129In,129,490,,-72834.9,2.0,,,,570,ms,10,9/2+,,14.0,,1975,B-=100;B-n=0.23 7,False,49,80,1.6499825809575426e-08,1.10e+3,7.003065458786462
129In,129,491,m,-72384.2,2.0,450.73,0.16,,1.23,s,0.03,1/2-,,14.0,,1976,B-~100;IT ?;B-n=3.6 4,False,49,80,1.6499887160045674e-08,1.10e+3,7.003065458786462
129In,129,492,n,-71146.9,2.0,1687.97,0.25,,11.2,us,0.2,(17/2-),,14.0,,2003,IT=100,False,49,80,1.6500055586923747e-08,1.10e+3,7.003065458786462
129In,129,493,p,-71180.0,50.0,1650.0,50.0,BD,670,ms,100,(23/2-),,14.0,,2004,B-~100;IT ?,False,49,80,4.1250127702892797e-07,1.10e+3,7.003065458786462
129In,129,494,q,-70890.0,50.0,1941.0,50.0,,110,ms,15,(29/2+),,14.0,,2004,IT~100;B- ?,False,49,80,4.1250226394364973e-07,1.10e+3,7.003065458786462
129Sn,129,500,,-80591.0,17.0,,,,2.23,m,0.04,3/2+*,,14.0,,1962,B-=100,False,50,79,1.402410421118622e-07,5.00e+7,17.72753356339242
129Sn,129,501,m,-80556.0,17.0,35.15,0.05,,6.9,m,0.1,11/2-*,,14.0,,1962,B-=100,False,50,79,1.4024108260388838e-07,5.00e+7,17.72753356339242
129Sn,129,502,n,-78829.0,17.0,1761.6,1.0,,3.49,us,0.11,(19/2+),,14.0,,2000,IT=100,False,50,79,1.402430806251938e-07,5.00e+7,17.72753356339242
129Sn,129,503,p,-78788.0,17.0,1802.6,1.0,,2.22,us,0.13,23/2+,,14.0,,2000,IT=100,False,50,79,1.402431280600915e-07,5.00e+7,17.72753356339242
129Sn,129,504,q,-78038.0,17.0,2552.9,1.1,,221,ns,18,(27/2-),,14.0,,2008,IT=100,False,50,79,1.4024399577729705e-07,5.00e+7,17.72753356339242
129Sb,129,510,,-84629.0,21.0,,,,4.366,h,0.026,7/2+,,14.0,,1939,B-=100,False,51,78,1.73235011975635e-07,,
129Sb,129,511,m,-82778.0,21.0,1851.31,0.06,,17.7,m,0.1,19/2-,,14.0,,1982,B-=85;IT=15,False,51,78,1.7323765721572686e-07,,
129Sb,129,512,n,-82768.0,21.0,1861.06,0.05,,2.23,us,0.17,15/2-,,14.0,,1987,IT=100,False,51,78,1.7323767150681656e-07,,
129Sb,129,513,p,-82490.0,21.0,2139.4,0.3,,0.89,us,0.03,23/2+,,14.0,,2003,IT=100,False,51,78,1.732380688000539e-07,,
129Te,129,520,,-87004.9,0.7,,,,69.6,m,0.3,3/2+,,14.0,,1939,B-=100,False,52,77,5.7744488309900264e-09,,
129Te,129,521,m,-86899.4,0.7,105.51,0.03,,33.6,d,0.1,11/2-,,14.0,,1940,IT=64 7;B-=36 7,False,52,77,5.774453856450623e-09,,
129I,129,530,,-88507.0,3.0,,,,16.14,My,0.12,7/2+*,,14.0,,1951,B-=100,False,53,76,2.474759522756746e-08,,
129Xe,129,540,,-88696.07,0.005,,,,stbl,,,1/2+*,,14.0,,1920,IS=26.401 138,False,54,75,4.1246367770630044e-11,1.80e+10,23.613637594842576
129Xe,129,541,m,-88459.93,0.03,236.14,0.03,,8.88,d,0.02,11/2-*,,14.0,,1951,IT=100,False,54,75,2.474786887081718e-10,1.80e+10,23.613637594842576
129Cs,129,550,,-87499.0,5.0,,,,32.06,h,0.06,1/2+*,,14.0,,1950,B+=100,False,55,74,4.1247215153844144e-08,8.50e+10,25.16591709343673
129Cs,129,551,m,-86924.0,5.0,575.4,0.14,,718,ns,21,(11/2-),,14.0,,1977,IT=100,False,55,74,4.124741080803938e-08,8.50e+10,25.16591709343673
129Ba,129,560,,-85061.0,11.0,,,,2.23,h,0.11,1/2+,,14.0,,1950,B+=100,False,56,73,9.074666664914811e-08,1.20e+10,23.208172486734412
129Ba,129,561,m,-85053.0,11.0,8.42,0.06,,2.135,h,0.010,7/2+,,14.0,,1950,B+~100;IT=?,False,56,73,9.074667263820851e-08,1.20e+10,23.208172486734412
129La,129,570,,-81324.0,21.0,,,,11.6,m,0.2,(3/2+),,14.0,,1963,B+=100,False,57,72,1.7325082601729795e-07,7.10e+6,15.775605342011543
129La,129,571,m,-81152.0,21.0,172.33,0.2,,560,ms,50,(11/2-),,14.0,,1969,IT=100,False,57,72,1.7325107186174105e-07,7.10e+6,15.775605342011543
129Ce,129,580,,-76288.0,28.0,,,,3.5,m,0.3,(5/2+),,14.0,,1977,B+=100,False,58,71,2.3101316422645144e-07,,
129Pr,129,590,,-69774.0,30.0,,,,30,s,4,(3/2+),,14.0,,1977,B+=100,False,59,70,2.475300489691622e-07,,
129Pr,129,591,m,-69390.0,30.0,382.57,0.24,,26.0,us,11.0,(11/2-),,14.0,,1997,IT=100,False,59,70,2.4753083324204893e-07,,
129Nd,129,600,,-62380.0,200.0,,,,6.8,s,0.6,7/2-.0,,14.0,,1977,B+=100;B+p=?,True,60,69,1.6503186199687503e-06,,
129Nd,129,601,m,-62330.0,220.0,50.0,100.0,,2.6,s,0.4,1/2+.0,,14.0,,2010,B+=100;B+p=?,True,60,69,1.8153512309426097e-06,,
129Pm,129,610,,-53180.0,300.0,,,,2.4,s,0.9,5/2+.0,,14.0,,2004,B+=100;B+p ?;p ?,True,61,68,2.4756922920009295e-06,,
129Sm,129,620,,-42330.0,500.0,,,,550,ms,100,"(1/2+,3/",2+),14.0,,1999,B+=100;B+p=?,True,62,67,4.126567345437981e-06,,
130Pd,130,460,,-32730.0,300.0,,,,27.0,ms,>550ns,0+,,,,2018,B- ?;B-n ?;B-2n ?,True,46,84,2.4566656185889e-06,,
130Ag,130,470,,-45900.0,420.0,,,,40.6,ms,4.5,1-.0,,15.0,,2000,B-=100;B-n ?;B-2n ?,True,47,83,3.438997400588514e-06,,
130Cd,130,480,,-61118.0,22.0,,,,126.8,ms,1.8,0+,,8.0,,1986,B-=100;B-n=3.5 10,False,48,82,1.8011742273497567e-07,2.61e+5,12.47227568630483
130Cd,130,481,m,-58988.0,22.0,2129.6,1.0,,240,ns,16,(8+),,8.0,,2007,IT=100,False,48,82,1.8012056379289336e-07,2.61e+5,12.47227568630483
130In,130,490,,-69906.5,1.8,,,*,273,ms,5,1(-),,8.0,,1973,B-=100;B-n=0.93 13,False,49,81,1.4735975782008636e-08,2.50e+6,14.73180128983843
130In,130,491,m,-69840.0,2.0,66.5,2.7,MD*,540,ms,10,(10-),,8.0,,1973,B-=100;B-n=1.80 7,False,49,81,1.637331533829057e-08,2.50e+6,14.73180128983843
130In,130,492,n,-69521.1,2.1,385.4,2.6,MD,540,ms,10,(5+),,8.0,,1986,B-=100;B-n=1.80 7,False,49,81,1.7192025988859397e-08,2.50e+6,14.73180128983843
130In,130,493,p,-69518.2,1.8,388.3,0.2,,4.6,us,0.2,(3+),,8.0,,2003,IT=100,False,49,81,1.473602262601855e-08,2.50e+6,14.73180128983843
130Sn,130,500,,-80132.2,1.9,,,,3.72,m,0.07,0+,,1.0,,1972,B-=100,False,50,80,1.5553503734665128e-08,,
130Sn,130,501,m,-78185.3,1.9,1946.88,0.1,,1.7,m,0.1,7-,,1.0,,1974,B-=100,False,50,80,1.5553751621488093e-08,,
130Sn,130,502,n,-77697.4,1.9,2434.79,0.12,,1.501,us,0.017,(10+),,1.0,,1981,IT=100,False,50,80,1.5553813744037557e-08,,
130Sb,130,510,,-82286.0,14.0,,,,39.5,m,0.8,8-,,1.0,,1962,B-=100,False,51,79,1.1460395710931704e-07,,
130Sb,130,511,m,-82281.0,14.0,4.8,0.2,,6.3,m,0.2,4+,,1.0,,1962,B-=100,False,51,79,1.1460396180005544e-07,,
130Sb,130,512,n,-82201.0,14.0,84.67,0.04,,800,ns,100,6-,,1.0,,2002,IT=100,False,51,79,1.1460403685192207e-07,,
