el,A,Z_+,state,ME_keV,ME_unc_keV,Ex_keV,Ex_unc_keV,Ex_origin,t_1_2,t_1_2_unit,t_1_2_unc,JP,T,ensdf,ref,yr,decay,extrapol,Z,N,mass_prec,isolde_yields,isolde_yields_log
203Pb,203,821,m,-23961.0,7.0,825.2,0.3,,6.21,s,0.08,13/2+,,5.0,,1955,IT=100,False,82,121,3.6716556262532556e-08,6.40e+5,13.369223455335854
203Pb,203,822,n,-21837.0,7.0,2949.2,0.4,,480,ms,7,29/2-,,5.0,,1977,IT=100,False,82,121,3.671696532081696e-08,6.40e+5,13.369223455335854
203Pb,203,823,p,-21820.0,50.0,2970.0,50.0,,122,ns,4,25/2-.0,,5.0,,1988,IT=100,True,82,121,2.622640613918622e-07,6.40e+5,13.369223455335854
203Bi,203,830,,-21525.0,13.0,,,,11.76,h,0.05,9/2-*,,5.0,,1950,B+=100,False,83,120,6.818922406335112e-08,1.90e+6,14.457364444136669
203Bi,203,831,m,-20427.0,13.0,1098.21,0.09,,305,ms,5,1/2+,,5.0,,1984,IT=100,False,83,120,6.81896167923642e-08,1.90e+6,14.457364444136669
203Bi,203,832,n,-19484.0,13.0,2041.5,0.6,,194,ns,30,25/2+,,5.0,,1978,IT=100,False,83,120,6.818995408510022e-08,1.90e+6,14.457364444136669
203Po,203,840,,-17311.0,5.0,,,,36.7,m,0.5,5/2-*,,5.0,,1951,B+=99.89 2;A=0.11 2,False,84,119,2.6227382289753226e-08,,
203Po,203,841,m,-16669.0,5.0,641.68,0.14,,45,s,2,13/2+*,,5.0,,1969,IT~100;A ?,False,84,119,2.6227470613275364e-08,,
203Po,203,842,n,-15153.0,5.0,2158.5,0.6,,>200,ns,,,,5.0,,1986,IT=100,False,84,119,2.6227679180215043e-08,,
203At,203,850,,-12163.0,11.0,,,,7.4,m,0.2,9/2-*,,5.0,,1951,B+=69 3;A=31 3,False,85,118,5.7702190670838623e-08,5.10e+6,15.444751097694555
203At,203,851,m,-11480.0,11.0,683.4,0.3,,3.5,ms,0.6,1/2+,,,,2017,IT=100,False,85,118,5.770239740591913e-08,5.10e+6,15.444751097694555
203At,203,852,n,-9833.0,11.0,2330.1,0.4,,9.77,us,0.21,29/2+,,,,2018,IT=100,False,85,118,5.7702895937162573e-08,5.10e+6,15.444751097694555
203Rn,203,860,,-6184.0,6.0,,,,44.2,s,1.6,3/2-,,5.0,,1967,A=66 9;B+=34 9,False,86,117,3.14751229013985e-08,1.20e+7,16.300417207752275
203Rn,203,861,m,-5822.0,5.0,362.0,4.0,AD,26.9,s,0.5,13/2+*,,5.0,,1967,A=75 10;B+=25 10,False,86,117,2.6229318893951245e-08,1.20e+7,16.300417207752275
203Fr,203,870,,876.0,6.0,,,,550,ms,10,9/2-*,,5.0,,1967,A~100;B+ ?,False,87,116,3.147650221307101e-08,2.10e+5,12.254862809699606
203Fr,203,871,m,1237.0,7.0,361.0,6.0,,43,ms,4,1/2+,,,,2013,IT=80 4;A=20 4,False,87,116,3.6722655461944396e-08,2.10e+5,12.254862809699606
203Fr,203,872,n,1302.0,6.0,426.0,1.0,,370,ns,50,13/2+,,,,2013,IT=100,False,87,116,3.1476572557911824e-08,2.10e+5,12.254862809699606
203Ra,203,880,,8601.0,10.0,,,,36,ms,13,3/2-,,5.0,,1996,A~100;B+ ?,False,88,115,5.24633191100149e-08,,
203Ra,203,881,m,8848.0,10.0,246.0,14.0,AD,25,ms,5,13/2+,,5.0,,1996,A~100;B+ ?,False,88,115,5.246338709437934e-08,,
204Ir,204,770,,-9570.0,400.0,,,,2.0,s,>300ns,,,13.0,,2011,B- ?;B-n ?,True,77,127,2.087886130042445e-06,,
204Pt,204,780,,-17620.0,200.0,,,,10.3,s,1.4,0+,,10.0,,2008,B-=100,True,78,126,1.0439062486592151e-06,,
204Pt,204,781,m,-15630.0,200.0,1995.1,0.7,,5.5,us,0.7,(5-),,10.0,,2009,IT=100,True,78,126,1.0439170916873873e-06,,
204Pt,204,782,n,-15590.0,200.0,2035.0,23.0,,55,us,3,(7-),,10.0,,2009,IT=100,True,78,126,1.0439173096400116e-06,,
